,Team,Points
1,Arsenal,57.0
2,Aston Villa,40.0
3,Brighton,43.0
4,Burnley,54.0
5,Chelsea,58.0
6,Crystal Palace,44.0
7,Everton,59.0
8,Fulham,54.0
9,Leeds,56.0
10,Leicester,55.0
11,Liverpool,61.0
12,Man City,74.0
13,Man Utd,78.0
14,Newcastle,47.0
15,Sheffield Utd,52.0
16,Southampton,38.0
17,Spurs,66.0
18,West Brom,32.0
19,West Ham,43.0
20,Wolves,39.0
